Conference_ID,Conference_Type,Conference_Title,Conference_Country,Conference_City,Year,Conference_Theme,Person,Organization,Organization_Country,Organization_Region
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Attila Beneda,Deputy State Secretary for Family and Demographic Policy,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Zoltán Maruzsa,Deputy State Secretary for Public Education,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Bosco Obradovic,DVERI,Serbia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Nemanja Zaric,DVERI,Serbia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Ágnes Hortobágyiné dr. Nagy,Embers Pastoral Center,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Slomo Köves,EMIH Unified Hungarian Jewish Congregation,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Maria Waszkiewicz,European Youth Workshop,Poland,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Peter Merse,European Youth Workshop Slovenian,Slovenia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Sonja Topic,"Families Association, Srpska",Bosnia and Herzegovina,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Tinatin Khorbaladze,Georgian Demographic Foundation,Georgia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Levan Vasadze,Georgian Demographic Society,Georgia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Ewa Kowalewska,Human Life International - Europe,Poland,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Ewa Kowalewska,Human Life International - Europe,Poland,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Lech Kowalewski,Human Life International - Europe,Poland,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",László Bíró,Hungarian Catholic Bishops' Conference,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",István Bogárdi Szabó,Hungarian Reformed Church Synod,Hungary,Post-Soviet
